X,Y,Z
0.0,0.0,0.0
0.049999997,0.049999997,0.07022017
0.099999994,0.099999994,0.13945934
0.14999999,0.14999999,0.20771754
0.19999999,0.19999999,0.2749947
0.24999999,0.24999999,0.34129086
0.29999998,0.29999998,0.40660605
0.34999996,0.34999996,0.4709402
0.39999995,0.39999995,0.53429335
0.44999993,0.44999993,0.59666556
0.49999994,0.49999994,0.65805674
0.54999995,0.54999995,0.7184669
0.5999999,0.5999999,0.77789605
0.6499999,0.6499999,0.8363442
0.6999999,0.6999999,0.8938114
0.74999994,0.74999994,0.95029765
0.79999995,0.79999995,1.0058028
0.85,0.85,1.060327
0.90000004,0.90000004,1.1138701
0.95000005,0.95000005,1.1664325
1.0000001,1.0000001,1.2180136
1.0500001,1.0500001,1.2686138
1.1000001,1.1000001,1.318233
1.1500002,1.1500002,1.3668714
1.2000002,1.2000002,1.4145284
1.2500001,1.2500001,1.4612046
1.3000001,1.3000001,1.5068996
1.35,1.35,1.5516138
1.4,1.4,1.595347
1.4499999,1.4499999,1.6380991
1.4999999,1.4999999,1.6798704
1.5499998,1.5499998,1.7206604
1.5999998,1.5999998,1.7604694
1.6499997,1.6499997,1.7992976
1.6999997,1.6999997,1.8371449
1.7499996,1.7499996,1.874011
1.7999996,1.7999996,1.9098961
1.8499995,1.8499995,1.9448001
1.8999995,1.8999995,1.9787233
1.9499995,1.9499995,2.0116656
1.9999994,1.9999994,2.0436268
2.0499995,2.0499995,2.074607
2.0999994,2.0999994,2.104606
2.1499994,2.1499994,2.133624
2.1999993,2.1999993,2.1616614
2.2499993,2.2499993,2.1887176
2.2999992,2.2999992,2.2147927
2.3499992,2.3499992,2.2398868
2.3999991,2.3999991,2.264
2.449999,2.449999,2.2871323
2.499999,2.499999,2.3092833
2.549999,2.549999,2.3304534
2.599999,2.599999,2.3506427
2.649999,2.649999,2.3698509
2.6999989,2.6999989,2.3880782
2.7499988,2.7499988,2.4053245
2.7999988,2.7999988,2.4215894
2.8499987,2.8499987,2.436874
2.8999987,2.8999987,2.4511771
2.9499986,2.9499986,2.464499
2.9999986,2.9999986,2.47684
3.0499985,3.0499985,2.4882002
3.0999985,3.0999985,2.4985795
3.1499984,3.1499984,2.507978
3.1999984,3.1999984,2.516395
3.2499983,3.2499983,2.5238314
3.2999983,3.2999983,2.5302866
3.3499982,3.3499982,2.5357609
3.3999982,3.3999982,2.540254
3.4499981,3.4499981,2.543766
3.499998,3.499998,2.546297
3.549998,3.549998,2.5478475
3.599998,3.599998,2.5484166
3.649998,3.649998,2.5480049
3.699998,3.699998,2.5466123
3.7499979,3.7499979,2.5442383
3.7999978,3.7999978,2.5408838
3.8499978,3.8499978,2.536548
3.8999977,3.8999977,2.5312314
3.9499977,3.9499977,2.524933
3.9999976,3.9999976,2.5176544
4.049998,4.049998,2.5093946
4.0999975,4.0999975,2.500154
4.1499977,4.1499977,2.489932
4.1999974,4.1999974,2.4787295
4.2499976,4.2499976,2.4665458
4.2999973,4.2999973,2.453381
4.3499975,4.3499975,2.4392352
4.399997,4.399997,2.424108
4.4499974,4.4499974,2.4080005
4.499997,4.499997,2.3909118
4.5499973,4.5499973,2.3728423
4.599997,4.599997,2.3537912
4.649997,4.649997,2.3337593
4.699997,4.699997,2.312747
4.749997,4.749997,2.2907534
4.799997,4.799997,2.2677789
4.849997,4.849997,2.2438226
4.8999968,4.8999968,2.2188854
4.949997,4.949997,2.192968
4.9999967,4.9999967,2.1660695
5.049997,5.049997,2.1381893
5.099997,5.099997,2.1093287
5.1499968,5.1499968,2.0794868
5.199997,5.199997,2.048664
5.2499967,5.2499967,2.0168605
5.299997,5.299997,1.984076
5.3499966,5.3499966,1.9503102
5.3999968,5.3999968,1.9155631
5.4499965,5.4499965,1.8798356
5.4999967,5.4999967,1.8431268
5.5499964,5.5499964,1.8054371
5.5999966,5.5999966,1.7667665
5.6499963,5.6499963,1.7271147
5.6999965,5.6999965,1.686482
5.749996,5.749996,1.6448679
5.7999964,5.7999964,1.602274
5.849996,5.849996,1.5586982
5.8999963,5.8999963,1.5141411
5.949996,5.949996,1.4686031
5.999996,5.999996,1.4220853
6.049996,6.049996,1.3745852
6.099996,6.099996,1.3261037
6.149996,6.149996,1.2766428
6.199996,6.199996,1.2261996
6.2499957,6.2499957,1.1747766
6.299996,6.299996,1.1223717
6.3499956,6.3499956,1.0689859
6.399996,6.399996,1.0146189
6.4499955,6.4499955,0.95927143
6.4999957,6.4999957,0.90294266
6.5499954,6.5499954,0.8456335
6.5999956,6.5999956,0.7873421
6.6499953,6.6499953,0.72807026
6.6999955,6.6999955,0.66781807
6.749995,6.749995,0.60658455
6.7999954,6.7999954,0.54437065
6.849995,6.849995,0.48117352
6.8999953,6.8999953,0.4169979
6.949995,6.949995,0.35184002
6.999995,6.999995,0.28570175
7.049995,7.049995,0.2185812
7.099995,7.099995,0.15048027
7.149995,7.149995,0.081398964
7.199995,7.199995,0.011336327
7.2499948,7.2499948,-0.059706688
